Date,Cases,cases_per_100k,Rt,surge,surge_prob
2023-04-03,434,8.470441282666823,1.0276135311829016,0,
2023-04-10,502,9.797607197923375,1.0974575180762494,0,
2023-04-17,555,10.832015925990984,1.0937431522226304,0,
2023-04-24,613,11.964010383121572,1.0891258433953313,0,
2023-05-01,1,0.019517145812596365,0.7147086492747607,0,
2023-05-08,788,15.379510900325936,0.8806158336065836,0,5.0710697854820756e-08
2023-05-15,886,17.29219118996038,1.0907177059637947,0,0.00931029255314464
2023-05-22,1103,21.527411831293794,1.3684480836365271,0,0.9996759069770179
2023-05-29,1324,25.84070105587759,1.7142758540025136,1,0.999999999442976
2023-06-05,1550,30.25157600952437,1.1407069305672939,1,0.09454527464062482
2023-06-12,1728,33.72562796416652,1.1347909918462957,1,0.07503988976574877
2023-06-19,2122,41.41538341432948,1.1271285847872623,1,0.05224871667500106
2023-06-26,2425,47.329078595546186,1.1234641156204004,1,0.04509971895217207
2023-07-03,2741,53.49649667232664,1.1200284758409353,1,0.038657560969795855
2023-07-10,2999,58.531920291976505,1.1100415385248097,1,0.02456792867477056
2023-07-17,3207,62.59148662099655,1.0833070177215942,1,0.007276389368903822
2023-07-24,3361,65.59712707613639,1.0645065596055776,1,0.002998217046471105
2023-07-31,3507,68.44663036477544,1.0480241162647808,1,0.0013514158984871709
2023-08-07,3620,70.65206784159884,1.0366978655567667,1,0.0007730845792578796
2023-08-14,6741,131.5650799227121,1.1288332138220571,1,0.05668817111934909
2023-08-21,6908,134.8244432734157,1.176793784313153,1,0.3403598942278413
2023-08-28,7047,137.53732654136658,1.172067840847656,1,0.28507169536076155
2023-09-04,7182,140.1721412260671,1.1163115825834702,1,0.02839051665020418
2023-09-11,7287,142.2214415363897,1.015300059176178,1,0.00027659822911768725
2023-09-18,7397,144.3683275757753,1.0133724750429272,1,0.00019433717048070133
2023-09-25,7490,146.1834221363468,1.011884877715245,1,0.00013684783011896928
2023-11-27,8290,161.7971387864239,1.0082138136985643,1,9.797556351482107e-05
2023-12-04,8464,165.19312215781562,1.0108158427674039,1,0.00010615701022306844
2023-12-11,8501,165.91525655288171,1.010475732392915,1,9.99246534455204e-05
2024-03-04,465,9.07547280285731,0.9296529503321737,0,1.4170532217217002e-06
2024-03-11,525,10.246501551613092,0.8430586209611841,0,2.788444563756061e-08
2024-03-18,606,11.827390362433398,0.8488613217469075,0,3.542117912500356e-08
2024-03-25,715,13.954759256006401,0.9084332495530059,0,5.348587553391855e-07
2024-04-01,821,16.023576712141615,1.1105011188031289,0,0.005776340462669017
2024-04-08,957,18.677908542654723,1.1164443328069595,0,0.014486662719109577
2024-04-15,1081,21.09803462341667,1.1129745384563363,0,0.024224937310033997
2024-04-22,1324,25.84070105587759,1.1189712260239337,0,0.03068296294915715
2024-04-29,1542,30.095438843023597,1.1264408237373496,0,0.04343454673366299
2024-05-06,1754,34.23307375529403,1.1256625142449042,0,0.04270072906814119
2024-05-13,2079,40.57614614438784,1.1282828141826526,0,0.04884652359461061
2024-05-20,2491,48.61721021917755,1.1267909615278444,1,0.0468719914057885
2024-05-27,2928,57.14620293928216,1.1334371609012701,1,0.06344203108174246
2024-06-03,3455,67.43173878252044,1.1395974072912993,1,0.08323567027278135
2024-06-10,3960,77.28789741788161,1.132821103636168,1,0.06310187704872698
2024-06-17,4480,87.43681324043172,1.1209656437307411,1,0.03773218849079781
2024-06-24,4968,96.96118039697875,1.107513224543279,1,0.020352121102723247
2024-07-01,5404,105.47065597127077,1.090979901474522,1,0.009340896221422194
2024-07-08,5740,112.02841696430315,1.074968646569933,1,0.0042898741186214034
2024-07-15,6077,118.60569510314812,1.060440503829438,1,0.0020866799801074415
2024-07-22,6298,122.91898432773192,1.0471558560119043,1,0.0010650102769308508
2024-07-29,6491,126.68579346956301,1.0364288740242207,1,0.0006095219551814017
2024-08-05,6641,129.61336534145246,1.0282512990686705,1,0.0003927282507903585
2024-08-12,6782,132.36528290102856,1.0214727172556528,1,0.0002724262589031273
2024-08-19,6882,134.3169974822882,1.0173962990483192,1,0.0002145302381776685
2024-08-26,6940,135.44899193941876,1.0132982773668138,1,0.00016938179871100098
2024-09-02,7034,137.28360364580283,1.0108215760137758,1,0.00014570625969444317
2024-09-09,7092,138.41559810293344,1.0087137274931284,1,0.00012753722749465129
2024-09-16,7147,139.48904112262622,1.0076131126842225,1,0.00011711609961279918
2024-09-23,7206,140.64055272556942,1.00713654224812,1,0.00011081949728501304
2024-09-30,7226,141.03089564182133,1.0054605627690356,1,9.9493904783458e-05
2024-10-07,7250,141.49930714132364,1.0043047881285327,1,9.138537781754597e-05
2024-10-14,7273,141.94820149501336,1.0032069412948137,1,8.399735403676639e-05
2024-10-21,7287,142.2214415363897,1.0022525532403437,1,7.787186365885811e-05
2024-10-28,7293,142.3385444112653,1.001839016631492,1,7.38885338530665e-05
2024-11-04,7301,142.49468157776607,1.0013089608564383,1,6.989968833457517e-05
2024-11-11,7311,142.689853035892,1.000963410056707,1,6.688199508073698e-05
2024-11-18,7316,142.787438764955,1.000812454519996,1,6.45310181683698e-05
2024-11-25,7322,142.9045416398306,1.000779725684626,1,6.269125590377778e-05
2024-12-02,7332,143.09971309795657,1.000778794739567,1,6.114346232976283e-05
2025-03-03,138,2.6933661221382983,0.8660721517977518,0,7.836320455504469e-08
2025-03-10,155,3.025157600952437,0.8086242594148753,0,5.9231023963827415e-09
2025-03-17,175,3.415500517204364,0.8128948124822759,0,7.479522193052774e-09
2025-03-24,191,3.7277748502059054,0.8774516677412414,0,1.5122262281086698e-07
2025-03-31,217,4.235220641333411,1.0697916880861058,0,0.0010529612822086872
2025-04-07,243,4.742666432460917,1.07167406637072,0,0.0020624719705643843
2025-04-14,271,5.2891465152136155,1.0734328570164506,0,0.0041169451412883425
2025-04-21,307,5.991763764467085,1.0788523748446348,0,0.00512779732785476
2025-04-28,346,6.752932451158343,1.0802231444871646,0,0.005588145712974549
2025-05-05,398,7.767824033413353,1.086474554393878,0,0.007601605006836364
2025-05-12,462,9.016921365419522,1.0951893922847473,0,0.011546510508039466
2025-05-19,542,10.578293030427231,1.1045003900975567,1,0.017985678578504923
2025-05-26,642,12.530007611686868,1.1155521842659348,1,0.03013704731851388
2025-06-02,738,14.403653609696118,1.118707257099402,1,0.03539599100862998
2025-06-09,851,16.609091086519506,1.1174848495536172,1,0.034210862957583826
2025-06-16,1020,19.907488728848293,1.1202720342025105,1,0.03941529633856338
2025-06-23,1251,24.415949411558053,1.1309716744936953,1,0.06381625867942997
2025-06-30,1527,29.80268165583465,1.1476681973688665,1,0.12927633743994033
2025-07-07,1813,35.38458535823722,1.1554492784501926,1,0.1765686003055609
2025-07-14,2076,40.51759470695006,1.1456710020638208,1,0.12138275115657017
2025-07-21,2367,46.1970841384156,1.1283080200368296,1,0.05880094640016485
2025-07-28,2638,51.486230653629214,1.109813965656349,1,0.02577829514227687
2025-08-04,2912,56.83392860628062,1.0955368928093512,1,0.013256870277079665
2025-08-11,3187,62.20114370474462,1.0854572860159293,1,0.008134651684351629
2025-08-18,3417,66.69008724164179,1.0738638820027855,1,0.004629710267925812
2025-08-25,3650,71.23758221597673,1.0645554128116708,1,0.0029104943596089134
2025-09-01,3843,75.00439135780783,1.0548873655301771,1,0.0017877985385424133
2025-09-08,4021,78.47844331244998,1.0461471186884923,1,0.0011433618630971429
2025-09-15,4182,81.620703788278,1.0395910011489449,1,0.0008046251335852137
2025-09-22,4286,83.65048695278801,1.031977125739541,1,0.0005385018224201356
2025-09-29,4377,85.4265472217343,1.02546583997088,1,0.00037937806697764943
2025-10-06,4447,86.79274742861604,1.0193580393576989,1,0.0002722253818307752
2025-10-13,4495,87.72957042762066,1.0141727252677817,1,0.00020423485319096872
2025-10-20,4563,89.05673634287722,1.0118646896906167,1,0.00017523736304041993
2025-10-27,4610,89.97404219606925,1.0101094442959637,1,0.00015480862419439798
2025-11-03,4647,90.69617659113531,1.0088376119615292,1,0.00014047936315767198
2025-11-10,4682,91.37927669457619,1.0077819599656297,1,0.00012899922383252134
2025-11-17,4713,91.98430821476667,1.0062509727218654,1,0.00011631708626949233
2025-11-24,4720,92.12092823545484,1.0047727458803082,1,0.00010507502644778315
2025-12-01,4736,92.4332025684564,1.0035836412539911,1,9.632300207463652e-05
2025-12-08,4743,92.56982258914456,1.0023935147097196,1,8.860541919011503e-05
2025-12-15,4749,92.68692546402013,1.0015620210863587,1,8.306798579731495e-05
2025-12-22,4751,92.72595975564533,1.0012315300022345,1,7.985325955196577e-05
